time, open
1511416800, 71.1
1511427600, 73.33
1511438400, 75.83
1511449200, 76.1
1511460000, 75.97
1511470800, 72.94
1511481600, 74.3
1511492400, 73.92
1511503200, 73.62
1511514000, 73.35
1511524800, 75.33
1511535600, 76.44
1511546400, 75.99
1511557200, 77.54
1511568000, 78.32
1511578800, 79.35
1511589600, 78.16
1511600400, 81.3
1511611200, 83.83
1511622000, 85.02
1511632800, 85.53
1511643600, 88.79
1511654400, 87.75
1511665200, 86.22
1511676000, 86.58
1511686800, 87.62
1511697600, 86.21
1511708400, 85.96
1511719200, 85.33
1511730000, 86.24
1511740800, 86.95
1511751600, 91.96
1511762400, 92.07
1511773200, 90.97
1511784000, 90.56
1511794800, 88.97
1511805600, 89.48
1511816400, 90.99
1511827200, 90.47
1511838000, 91.8
1511848800, 91.86
1511859600, 92.4
1511870400, 91.73
1511881200, 92.41
1511892000, 93.14
1511902800, 94.22
1511913600, 98.69
1511924400, 94
1511935200, 97.43
1511946000, 99.24
1511956800, 101.75
1511967600, 97.38
1511978400, 84.02
1511989200, 85.41
1512000000, 89.49
1512010800, 89.24
1512021600, 88.27
1512032400, 83.52
1512043200, 80.31
1512054000, 81.07
1512064800, 82.09
1512075600, 85.94
1512086400, 85.09
1512097200, 83.04
1512108000, 85.68
1512118800, 87.6
1512129600, 91.26
1512140400, 93.03
1512151200, 97.95
1512162000, 99.15
1512172800, 100.95
1512183600, 101.52
1512194400, 101.5
1512205200, 99.04
1512216000, 99.76
1512226800, 100.38
1512237600, 100.15
1512248400, 99.32
1512259200, 98.81
1512270000, 100.25
1512280800, 100.01
1512291600, 102.47
1512302400, 103.05
1512313200, 103.2
1512324000, 102.93
1512334800, 100.7
1512345600, 100.01
1512356400, 100.17
1512367200, 100.48
1512378000, 97.59
1512388800, 99.12
1512399600, 98.24
1512410400, 101.52
1512421200, 102.27
